,date,match name
0,Fri 10 February (LOCAL),Sri Lanka Vs Australia
1,Fri 10 February (LOCAL),New Zealand Vs Bangladesh
2,Sat 11 February (LOCAL),West Indies Vs Ireland
3,Sat 11 February (LOCAL),England Vs India
4,Sat 11 February (LOCAL),South Africa Vs Australia
5,Sat 11 February (LOCAL),Pakistan Vs West Indies
6,Sun 12 February (LOCAL),New Zealand Vs Sri Lanka
7,Sun 12 February (LOCAL),India Vs Ireland
8,Sun 12 February (LOCAL),England Vs Pakistan
9,Sun 12 February (LOCAL),South Africa Vs Bangladesh
10,Mon 13 February (LOCAL),Semi-Finalist 1 Vs Semi-Finalist 2
11,Mon 13 February (LOCAL),Semi-Finalist 3 Vs Semi-Finalist 4
12,Mon 13 February (LOCAL),Winner of SF1 Vs Winner of SF2
